Material Class,Material Formula,Notes
Double Perovskite,Ba2AlBiO6,"No experimental synthesis papers found; only DFT studies (10.1016/j.matchemphys.2025.130911 — X2AlBiO6 X=Mg,Ca,Ba; Mater. Chem. Phys. 2025 342 130911; direct bandgap 1.3 eV for Ba variant); Sb analogue Ba2AlSbO6 also has no experimental synthesis (only DFT: direct bandgap 2.87 eV); Ba2AlNbO6 experimentally synthesized at 1150C; Al3+ (0.535 A) much smaller than Bi5+ (0.760 A) giving large size mismatch favorable for B-site ordering; tolerance factor ~0.99; likely feasible but untested; Bi5+ strong oxidizer requires special conditions"
Double Perovskite,Ba2AlSbO6,No solid-state synthesis papers found; only DFT studies exist; but Sr2AlSbO6 is experimentally confirmed (cubic Fm-3m) — Ba substitution should preserve structure; likely feasible
Double Perovskite,Ba2AlTaO6,No solid-state synthesis papers found; only DFT studies exist; but Ba2AlNbO6 is experimentally synthesized and Ba2InTaO6 is well-characterized — likely feasible by analogy
Double Perovskite,Ba2CeSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ba2GaBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found either; Sb analogue Ba2GaSbO6 also has no experimental synthesis (only DFT: direct bandgap 1.86 eV); Ba-Ga double perovskites systematically understudied; Ga3+ (0.620 A) smaller than Bi5+ (0.760 A) giving good size contrast for ordering; tolerance factor ~0.97; likely feasible by analogy with Ba2AlNbO6 and Ca2AlBiO6; Bi5+ oxidizer requires special conditions
Double Perovskite,Ba2GaNbO6,No solid-state synthesis papers found; only computational studies; but Ba2AlNbO6 is synthesized and Ga3+/Al3+ substitution is modest — likely feasible
Double Perovskite,Ba2GaSbO6,No solid-state synthesis papers found; DFT predicts stable cubic Fm-3m structure; Sr2AlSbO6 analogue confirmed experimentally — likely feasible
Double Perovskite,Ba2GaTaO6,[MARGINAL] No papers found at all (experimental or computational); complete absence from literature is a weak negative signal; Ba-Ga double perovskite series systematically unstudied; uncertain
Double Perovskite,Ba2HfCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ba2HfSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ba2ScTaO6,No solid-state synthesis papers found; only computational; but Ba2InTaO6 and Ba2SmTaO6 experimentally synthesized; Sc3+ (0.745 Å) close to In3+ (0.80 Å); Sr and Ca analogues exist — likely feasible
Double Perovskite,Ba2TiCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ba2TiHfO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ba2TiSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ba2TiZrO6,Does not adopt ordered double perovskite structure; BaZr0.5Ti0.5O3 (BZT) is a well-studied disordered cubic perovskite (Pm-3m) relaxor ferroelectric
Double Perovskite,Ba2ZnTeO6,Does not adopt double perovskite structure at ambient pressure; forms 12R hexagonal phase with face-sharing octahedra; cubic double perovskite requires high-pressure synthesis (4 GPa/1000°C); ref: 10.1016/j.jssc.2015.11.028
Double Perovskite,Ba2ZrCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ba2ZrHfO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ba2ZrSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Bi2CaCeO6,Does not form perovskite; Ca2+ too large for B-site with Ce4+; Ce4+ redox-unstable; no evidence for any Bi(Ca0.5Ce0.5)O3
Double Perovskite,Bi2CaGeO6,[MARGINAL] No papers found but likely feasible; tolerance factor t=0.839 is better than confirmed Bi2CaTiO6 (t=0.825); Ge4+ (0.53 Å) is smaller than Ti4+ so avg B-site radius (0.765 Å) is more favorable for Ca2+ on B-site; expected to form disordered simple perovskite Bi(Ca0.5Ge0.5)O3 by analogy
Double Perovskite,Bi2CaHfO6,[MARGINAL] Does not form perovskite; Ca2+ (1.00 Å) too large for B-site when paired with Hf4+ (avg r_B=0.855 Å); no Bi(Ca0.5X)O3 reported for any X except Ti; tolerance factor ~0.81 too low
Double Perovskite,Bi2CaSnO6,[MARGINAL] Does not form perovskite; Ca2+ (1.00 Å) too large for B-site when paired with Sn4+ (avg r_B=0.845 Å); no Bi(Ca0.5X)O3 reported for any X except Ti; tolerance factor ~0.82 too low
Double Perovskite,Bi2CaTiO6,Does not adopt double perovskite structure; forms simple perovskite Bi(Ca0.5Ti0.5)O3 with mixed B-site; synthesized at ambient pressure (10.1016/j.ceramint.2017.11.194) but Ca2+ anomalously large for B-site
Double Perovskite,Bi2CaZrO6,[MARGINAL] Does not form perovskite; Ca2+ (1.00 Å) too large for B-site when paired with Zr4+ (avg r_B=0.860 Å); no Bi(Ca0.5X)O3 reported for any X except Ti; tolerance factor ~0.81 too low
Double Perovskite,Bi2MgCeO6,Does not form perovskite; Ce4+ (0.87 Å) redox-unstable; no Bi(Mg0.5Ce0.5)O3 reported in any context
Double Perovskite,Bi2MgGeO6,"[MARGINAL] No papers found; Bi(Mg0.5Ge0.5)O3 not reported as pure phase or solid solution component; La2MgGeO6 double perovskite exists so Ge4+ can occupy octahedral sites, but Bi-Ge perovskite combination is undemonstrated; feasibility uncertain"
Double Perovskite,Bi2MgHfO6,Does not adopt double perovskite structure; expected to form simple perovskite Bi(Mg0.5Hf0.5)O3 by analogy with Bi(Mg0.5Ti0.5)O3 and Bi(Mg0.5Zr0.5)O3
Double Perovskite,Bi2MgSnO6,Does not adopt double perovskite A2B'B''O6 structure; forms simple perovskite Bi(Mg0.5Sn0.5)O3 with disordered B-site; metastable — never reported as pure end-member by conventional solid-state synthesis; exists only as component in solid solutions (e.g. 10.1021/acssuschemeng.1c00303)
Double Perovskite,Bi2MgTiO6,Does not adopt double perovskite A2B'B''O6 structure; forms simple perovskite Bi(Mg0.5Ti0.5)O3 with disordered B-site; metastable phase requiring high-pressure synthesis (6 GPa) for pure product (10.1021/cm061129w); ambient-pressure synthesis yields non-stoichiometric or impure product
Double Perovskite,Bi2MgZrO6,Does not adopt double perovskite structure; forms simple perovskite Bi(Mg0.5Zr0.5)O3 with disordered B-site; pure end-member likely requires high-pressure synthesis; exists only in solid solutions
Double Perovskite,Bi2ZnCeO6,Does not form perovskite; Ce4+ (0.87 Å) redox-unstable; no Bi(Zn0.5Ce0.5)O3 reported in any context
Double Perovskite,Bi2ZnGeO6,"[MARGINAL] No papers found; Bi(Zn0.5Ge0.5)O3 not reported as pure phase or solid solution component; La2MgGeO6 exists so Ge4+ can occupy octahedral sites, but Bi-Ge perovskite combination is undemonstrated; feasibility uncertain"
Double Perovskite,Bi2ZnHfO6,Does not adopt double perovskite structure; expected to form simple perovskite Bi(Zn0.5Hf0.5)O3 by analogy with other Bi-based compositions
Double Perovskite,Bi2ZnSnO6,Does not adopt double perovskite structure; expected to form simple perovskite Bi(Zn0.5Sn0.5)O3 by analogy with Bi(Zn0.5Ti0.5)O3
Double Perovskite,Bi2ZnTiO6,Does not adopt double perovskite structure; forms simple perovskite Bi(Zn0.5Ti0.5)O3 (P4mm) with extreme tetragonal distortion c/a=1.211; requires high-pressure synthesis 6 GPa/900°C (10.1021/cm061085r)
Double Perovskite,Bi2ZnZrO6,Does not adopt double perovskite structure; expected to form simple perovskite Bi(Zn0.5Zr0.5)O3 by analogy with other Bi-based compositions
Double Perovskite,Ca2AlTaO6,No solid-state synthesis papers found; but Ca2AlSbO6 exists via sol-gel and Ca-based 3+/5+ double perovskites are well-established (e.g. Ca2CrSbO6) — likely feasible
Double Perovskite,Ca2CeSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ca2GaBiO6,[MARGINAL] No experimental synthesis papers found; Sb5+ analogue Ca2GaSbO6 is not well documented either; Al analogue Ca2AlBiO6 synthesized by sol-gel (10.2478/s11696-013-0394-9); Ga3+ (0.620 A) is similar to Al3+ (0.535 A) but larger; tolerance factor ~0.88; likely feasible by sol-gel or solid-state given Ca2AlBiO6 success
Double Perovskite,Ca2GaSbO6,[MARGINAL] No papers found; Ca-Ga double perovskite series absent from literature; tolerance factor with Ca2+ may be borderline; uncertain
Double Perovskite,Ca2GaTaO6,[MARGINAL] No papers found; Ca-Ga double perovskite series systematically absent from literature; Ga3+ relatively small and tolerance factor with Ca2+ may be borderline; uncertain
Double Perovskite,Ca2HfCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ca2HfSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ca2InBiO6,"No experimental synthesis papers found; only DFT studies (10.1016/j.matchemphys.2025.130747 — A2InBiO6 A=Mg,Ca,Sr; widest bandgap in series); Sb analogue Ca2InSbO6 experimentally synthesized; Ba2InBiO6 known computationally (narrow bandgap 0.125 eV); In3+ (0.800 A) + Bi5+ (0.760 A) charge/size difference favorable for ordering; likely feasible"
Double Perovskite,Ca2LuBiO6,No experimental synthesis papers found; Sb analogue Ca2LuSbO6 experimentally synthesized (10.1021/acs.inorgchem.1c00932 — monoclinic P21/n); Ba2LuBiO6 and Sr2LuBiO6 both experimentally synthesized (10.1021/cm0486924); Lu3+ (0.861 A) similar to Sc3+ (0.745 A) and Y3+ (0.900 A); tolerance factor ~0.77; likely feasible given success of Sr2LuBiO6
Double Perovskite,Ca2MgMoO6,No solid-state synthesis papers found; but Ca2MgWO6 is extensively synthesized (P21/n) and Sr2MgMoO6 is well-known SOFC anode material; Mo6+/W6+ nearly identical in size — likely feasible
Double Perovskite,Ca2ScBiO6,"No experimental synthesis papers found; only DFT studies (10.1016/j.mssp.2024.108807 — X2ScBiO6 X=Mg,Ca,Ba; cubic Fm3m predicted; indirect bandgap 1.39 eV); Sr2ScBiO6 experimentally synthesized by solid-state at 850C (Kazin 2001); Sb analogue Ca2ScSbO6 well-known (monoclinic P21/n); tolerance factor reasonable; likely feasible"
Double Perovskite,Ca2TiCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ca2TiHfO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ca2TiSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ca2TiZrO6,Does not adopt ordered double perovskite structure; forms disordered solid solution Ca(Ti0.5Zr0.5)O3 (orthorhombic Pbnm); isovalent +4/+4 B-site cations have no charge-ordering driving force; confirmed experimentally (10.1021/cm0523438)
Double Perovskite,Ca2YBiO6,"No experimental synthesis papers found; only DFT studies (10.1016/j.cplett.2025.141952 — A2YBiO6 A=Mg,Ca,Ba; tolerance factor 0.76; formation energy -5.83; bandgap 2.01 eV); Sb analogue Ca2YSbO6 well-known and widely used as phosphor host (solid-state 1300-1500C); Y3+ (0.900 A) large but tolerance factor still viable; likely feasible but may need high pressure or special oxidizing conditions for Bi5+"
Double Perovskite,Ca2ZnTeO6,No experimental synthesis papers found; tolerance factor t~0.945 favorable; Ca2ZnWO6 and Sr2ZnTeO6 analogues both confirmed; likely synthesizable at ~1100-1200°C with CaCO3+ZnO+TeO2
Double Perovskite,Ca2ZrCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ca2ZrHfO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Ca2ZrSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,La2CaCeO6,"No papers found; Ca2+ CAN occupy octahedral B-sites (La2CaSnO6 is confirmed), but Ca2+ (1.00 Å) and Ce4+ (0.87 Å) are too similar in size (0.13 Å difference) to drive B-site ordering — likely forms disordered perovskite rather than ordered double perovskite; Ce4+ also redox-unstable"
Double Perovskite,La2CaGeO6,"No papers found but likely feasible; Ca2+ occupies octahedral B-sites in confirmed La2CaSnO6 (P21/n), and La2MgGeO6 also exists; Ca2+/Ge4+ size contrast (1.00 vs 0.53 Å = 0.47 Å difference) is very large and should strongly drive B-site ordering; no specific synthesis attempted yet"
Double Perovskite,La2MgCeO6,"[MARGINAL] No papers found; Ce4+ does occupy octahedral B-sites in other double perovskites (Ba2CeSbO6, Sr2CeSbO6, Ba2CeWO6), but all confirmed cases use large Ba2+/Sr2+ A-site cations; with smaller La3+ on A-site feasibility is uncertain; Ce4+ also redox-unstable (tends to reduce to Ce3+); not yet attempted"
Double Perovskite,La2ZnCeO6,"[MARGINAL] No papers found; Ce4+ does occupy octahedral B-sites in other double perovskites (Ba2CeSbO6, Sr2CeSbO6), but all confirmed cases use large Ba2+/Sr2+ A-site cations; Zn2+ (0.74 Å) and Ce4+ (0.87 Å) size difference (0.13 Å) may be too small to drive B-site ordering; Ce4+ also redox-unstable; feasibility uncertain"
Double Perovskite,La2ZnGeO6,No papers found but likely feasible; tolerance factor t=0.959 (excellent); La2ZnTiO6 and La2ZnZrO6 confirmed with Zn2+ in octahedral B-site; La2MgGeO6 confirms La2-B-Ge framework; Zn2+ tetrahedral preference does not prevent octahedral occupancy in double perovskites (multiple La2Zn compounds exist); ZnGeO3 HP argument irrelevant for La2 framework
Double Perovskite,La2ZnHfO6,[MARGINAL] No papers found; La2ZnTiO6 exists but Hf4+ (0.71 Å) significantly larger than Ti4+ (0.605 Å) creating tolerance factor concerns; Zn2+ tetrahedral preference adds risk; uncertain
Double Perovskite,La2ZnSnO6,[MARGINAL] No papers found; La2ZnTiO6 exists but Sn4+ (0.69 Å) larger than Ti4+ (0.605 Å); Zn2+ tetrahedral preference a persistent concern; uncertain
Double Perovskite,Lu2CaCeO6,Does not form double perovskite; Ca2+ and Ce4+ both oversized for B-site with Lu3+ on A-site; tolerance factor t=0.720; Ce4+ also redox-unstable
Double Perovskite,Lu2CaGeO6,Does not form double perovskite; Ca2+ too large for B-site with Lu3+ on A-site; tolerance factor t=0.776 below any confirmed double perovskite
Double Perovskite,Lu2CaHfO6,Does not form double perovskite; Ca2+ too large for B-site with Lu3+ on A-site; tolerance factor t=0.745 far below any confirmed double perovskite
Double Perovskite,Lu2CaSnO6,Does not form double perovskite; Ca2+ too large for B-site with Lu3+ on A-site; tolerance factor t=0.749 far below any confirmed double perovskite
Double Perovskite,Lu2CaTiO6,Does not form double perovskite; Ca2+ too large for B-site with Lu3+ (smallest RE) on A-site; tolerance factor t=0.763 far below any confirmed double perovskite
Double Perovskite,Lu2CaZrO6,Does not form double perovskite; Ca2+ too large for B-site with Lu3+ on A-site; tolerance factor t=0.744 far below any confirmed double perovskite
Double Perovskite,Lu2MgCeO6,Does not form double perovskite; Ce4+ (0.87 Å) too large for B-site with small Lu3+ A-site; tolerance factor t=0.766; La analogue also unreported; Ce4+ redox-unstable
Double Perovskite,Lu2MgGeO6,No synthesis papers found; tolerance factor t=0.830 is favorable (above confirmed Lu2CoMnO6 at t=0.825); La2MgGeO6 analogue confirmed; likely feasible
Double Perovskite,Lu2MgHfO6,[MARGINAL] Does not form double perovskite; tolerance factor t=0.795 below all confirmed Lu double perovskites (lowest confirmed: Lu2CoCrO6 at t=0.808); no RE2MgHfO6 reported for any RE smaller than La
Double Perovskite,Lu2MgSnO6,[MARGINAL] Does not form double perovskite; tolerance factor t=0.799 below all confirmed Lu double perovskites (lowest confirmed: Lu2CoCrO6 at t=0.808); no RE2MgSnO6 reported for any RE smaller than La
Double Perovskite,Lu2MgTiO6,No synthesis papers found; tolerance factor t=0.815 above confirmed Lu2CoCrO6 (t=0.808); RE2MgTiO6 series confirmed for RE=Gd through Er; Lu variant likely feasible
Double Perovskite,Lu2MgZrO6,[MARGINAL] Does not form double perovskite; tolerance factor t=0.793 below any confirmed double perovskite with this B-site combination; no RE2MgZrO6 reported for any RE smaller than La
Double Perovskite,Lu2ZnCeO6,Does not form double perovskite; Ce4+ (0.87 Å) too large for B-site with small Lu3+ A-site; tolerance factor t=0.762; La analogue also unreported; Ce4+ redox-unstable
Double Perovskite,Lu2ZnGeO6,No synthesis papers found; tolerance factor t=0.826 comparable to confirmed Lu2CoMnO6 (t=0.825); likely feasible but no RE2ZnGeO6 confirmed for any RE
Double Perovskite,Lu2ZnHfO6,[MARGINAL] Does not form double perovskite; tolerance factor t=0.791 below all confirmed Lu double perovskites (lowest confirmed: Lu2CoCrO6 at t=0.808); no RE2ZnHfO6 reported for any RE
Double Perovskite,Lu2ZnSnO6,[MARGINAL] Does not form double perovskite; tolerance factor t=0.795 below all confirmed Lu double perovskites (lowest confirmed: Lu2CoCrO6 at t=0.808); no RE2ZnSnO6 reported for any RE
Double Perovskite,Lu2ZnTiO6,[MARGINAL] No synthesis papers found; tolerance factor t=0.811 just above confirmed Lu2CoCrO6 (t=0.808); marginal — may form but pushing stability limit
Double Perovskite,Lu2ZnZrO6,[MARGINAL] Does not form double perovskite; tolerance factor t=0.789 below confirmed Ho2ZnZrO6 (t=0.802); Ho is the smallest RE confirmed for this composition
Double Perovskite,Pb2AlBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found; Pb2+ on A-site with Bi5+ on B-site is chemically problematic — Pb2+ 6s2 lone pair can reduce Bi5+ to Bi3+; no Pb2B'BiO6 compounds have been experimentally synthesized for any B'; Sb5+ analogue Pb2AlSbO6 also not reported; Al3+ (0.535 A) very small for double perovskite B-site with large Pb2+ A-site; tolerance factor likely >1.05; viability uncertain to poor
Double Perovskite,Pb2AlNbO6,[MARGINAL] No experimental synthesis found; Al3+ (0.535 Å) very small for B-site creating high tolerance factor; pyrochlore competing phase likely; Ba2AlNbO6 exists but Pb analogue unreported
Double Perovskite,Pb2AlSbO6,[MARGINAL] No experimental synthesis found; Al3+ (0.535 Å) and Sb5+ (0.60 Å) both very small for octahedral B-sites; extremely high tolerance factor likely favors non-perovskite phases
Double Perovskite,Pb2AlTaO6,[MARGINAL] No experimental synthesis found; same Al3+ size concern as Nb analogue; AlTaO4 precursor would need very high temperature
Double Perovskite,Pb2CaMoO6,Does not form double perovskite; Ca2+ (1.00 Å) too large for B-site when Pb2+ is on A-site; competing scheelite phases CaMoO4 + PbMoO4 thermodynamically favored
Double Perovskite,Pb2CaWO6,Does not form double perovskite; Ca2+ (1.00 Å) too large for B-site when Pb2+ is on A-site; would decompose to PbWO4 + CaO or CaWO4 + PbO; Ba2CaWO6 and Sr2CaWO6 exist because Ba/Sr are much larger A-site cations
Double Perovskite,Pb2CeSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2GaBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found; same Pb2+/Bi5+ redox incompatibility concern as Pb2AlBiO6; no Pb2B'BiO6 compounds experimentally known; Sb5+ analogue Pb2GaSbO6 also not reported; Ga3+ (0.620 A) small for B-site; viability uncertain to poor
Double Perovskite,Pb2GaNbO6,[MARGINAL] No experimental synthesis found; Ga3+ (0.620 Å) close to Fe3+ (0.645 Å) and Pb(Fe0.5Nb0.5)O3 is well-known; feasible but likely requires careful optimization to avoid pyrochlore
Double Perovskite,Pb2GaSbO6,[MARGINAL] No experimental synthesis found; Ga3+ (0.620 Å) and Sb5+ (0.60 Å) both relatively small; high tolerance factor may favor non-perovskite phases
Double Perovskite,Pb2GaTaO6,[MARGINAL] No experimental synthesis found; GaTaO4 precursor route would be needed; feasible by analogy with Pb2GaNbO6 assessment
Double Perovskite,Pb2HfCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2HfSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2InBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found specifically for this compound; Sb5+ analogue Pb2InSbO6 not well documented; In3+ (0.800 A) close to Bi5+ (0.760 A) may reduce B-site ordering; Pb2+/Bi5+ redox concern persists; feasibility uncertain
Double Perovskite,Pb2InSbO6,[MARGINAL] No experimental synthesis found; In-containing Pb perovskites struggle with pyrochlore formation; Sb2O5 less thermally stable than Nb2O5; uncertain
Double Perovskite,Pb2LuBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found; Lu3+ (0.861 A) larger than Bi5+ (0.760 A) — reasonable size difference for ordering; Pb2+/Bi5+ redox concern persists; Ba2LuBiO6 and Sr2LuBiO6 both experimentally known suggesting LuBi ordering is stable; replacing Ba/Sr with Pb introduces lone-pair distortion and redox risk; feasibility uncertain
Double Perovskite,Pb2LuSbO6,"No experimental synthesis found but likely viable; Pb2ScSbO6, Pb2YSbO6, Pb2TmSbO6 all confirmed; Lu3+ (0.861 Å) between Tm3+ and Yb3+; standard ceramic synthesis expected"
Double Perovskite,Pb2LuTaO6,No experimental synthesis found but likely viable; Lu3+ (0.861 Å) close to Yb3+ and In3+; LuTaO4 precursor exists; expect wolframite precursor + PbO route at ~1200-1400°C
Double Perovskite,Pb2ScBiO6,[MARGINAL] No experimental synthesis papers found; DFT-only study (10.1016/j.cplett.2022.139987 — Abraham et al. Chem. Phys. Lett. 2022 806 139987; described as 'new' compound; bandgap 2.171 eV by TB-mBJ; SLME 29.5%); Sb5+ analogue Pb2ScSbO6 experimentally synthesized by standard ceramic procedures (10.1039/b821688f — Alonso et al. Dalton Trans. 2009; Fm-3m; Pb2+ 6s lone pair causes off-center displacement); Bi5+ substitution for Sb5+ plausible given Pb2ScSbO6 exists but Bi5+ is harder to stabilize than Sb5+; feasibility moderate — may require oxidizing atmosphere or low-T route
Double Perovskite,Pb2TiCeO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2TiHfO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2TiSnO6,Does not adopt ordered double perovskite structure; isovalent +4/+4 B-site cations form disordered solid solution
Double Perovskite,Pb2TiZrO6,Does not adopt ordered double perovskite structure; PbZr0.5Ti0.5O3 (PZT) is the canonical disordered perovskite ferroelectric solid solution
Double Perovskite,Pb2YBiO6,[MARGINAL] No experimental synthesis papers found; no DFT studies found; Y3+ (0.900 A) much larger than Bi5+ (0.760 A) — large size difference favorable for ordering; but Pb2+/Bi5+ redox concern; Sb5+ analogue Pb2YSbO6 not well documented; tolerance factor reasonable; feasibility uncertain — redox stability is main concern
